"Company","Review Summary","industry","size","tagline","description","mission","founded","headquarters","website","employee_count","benefits"
"Gardenia Bakeries (KL) Sdn Bhd","A very strong brand and stable employment are key advantages. However, the manufacturing and logistics environment is highly demanding with long hours and shift work.","Food & Beverage Manufacturing","Large (500+)","So good... you can even eat it on its own.","One of Malaysia's most recognizable brands, producing a wide variety of bread, buns, and cakes that are distributed nationwide.","To be the premier company in the baking and food industry that provides best quality products.","1986","Shah Alam, Malaysia","https://www.gardenia.com.my/","1001-5000","Health Insurance, EPF, SOCSO, Meal Subsidies, Product Allowances"
"Greatech Integration (M) Sdn Bhd","Working on high-tech factory automation systems for global clients provides excellent engineering exposure. However, the project-based work is very demanding with tight deadlines and long hours.","Automation & Engineering","Large (500+)","We Automate & Integrate","A leading automation solutions provider in Malaysia, specializing in designing and producing automated equipment for various industries, particularly the solar and semiconductor sectors.","To be a world-class automation solutions provider, delivering innovative and reliable systems to our customers.","1997","Bayan Lepas, Penang, Malaysia","https://www.greatech-integration.com/","501-1000","Health Insurance, EPF, SOCSO, Project Bonuses, Travel Opportunities"
"Hitachi eBworx Sdn. Bhd.","Good exposure to the banking software industry and a stable work environment are positives. However, the technology can be legacy and the company culture is often described as rigid and hierarchical.","Financial Technology (FinTech)","Mid-size (100-500)","Innovate with Insight","A leading financial solutions specialist in the region, providing a wide range of software solutions to the banking and financial services industry.","To be the leading innovator in financial technology, creating value for our clients with our expertise and solutions.","1998","Kuala Lumpur, Malaysia","https://www.hitachi-ebworx.com/","251-500","Health Insurance, EPF, SOCSO, Stable Employment, Professional Development"
"Indah Water Konsortium Sdn. Bhd.","Job stability as a national utility company is a major advantage. However, the work environment is very bureaucratic and traditional, with limited opportunities for dynamic career growth.","Utilities & Waste Management","Large (500+)","For a better environment","Malaysia's national sewerage company, responsible for developing and maintaining a modern and efficient sewerage system for the country.","To be a trusted and respected leader in sewerage services, contributing to a cleaner and healthier environment for all Malaysians.","1994","Kuala Lumpur, Malaysia","https://www.iwk.com.my/","5001-10000","Health Insurance, EPF, SOCSO, Pension Scheme, Housing Loans, Stable Employment"
"Insulet Malaysia","The opportunity to work in a new, state-of-the-art facility for a growing medical device company is a key draw. As a new setup, processes are still being established which can be both a challenge and an opportunity.","Medical Devices","Large (500+)","Simplify Life.","The Malaysian manufacturing site for the innovative company behind the Omnipod, a tubeless, wearable insulin pump.","To improve the lives of people with diabetes through the use of our innovation and technology.","2000","Acton, USA (Global HQ)","https://www.insulet.com/","501-1000 (Malaysia)","Health Insurance, Dental, Vision, Stock Options, EPF, SOCSO, New Facility"
"International SOS (M) Sdn Bhd","Working in a unique and meaningful industry that helps people globally is a strong motivator. However, the operational roles are very high-pressure and require 24/7 availability.","Healthcare & Assistance Services","Large (500+)","Worldwide reach. Human touch.","The world's leading medical and travel security services company, providing assistance and emergency services to clients worldwide from its operational centers.","To help our clients protect their global workforce from health and security threats.","1985","Singapore","https://www.internationalsos.com/","501-1000 (Malaysia)","Health Insurance, Shift Allowances, Global Exposure, EPF, SOCSO, Meaningful Work"
"Kenanga Investment Bank Berhad","Good exposure to the investment banking and stockbroking industry is a major positive. However, it is a high-stress and demanding environment with long working hours.","Investment Banking & Finance","Large (500+)","Your Partner in Progress","A leading independent investment bank in Malaysia with a strong reputation in equity broking, investment banking, and wealth management.","To be the preferred independent investment bank in Malaysia, providing innovative financial solutions and creating value for our clients.","1973","Kuala Lumpur, Malaysia","https://www.kenanga.com.my/","1001-5000","Health Insurance, EPF, SOCSO, Performance Bonuses, Professional Certifications"
"Keysight Technologies Malaysia Sdn. Bhd.","A great culture with a focus on work-life balance and employee well-being is highly praised. The work involves cutting-edge electronic measurement technology, which is a key positive.","Electronics & Test Measurement","Large (500+)","Accelerate Innovation to Connect and Secure the World","A leading technology company that helps enterprises, service providers and governments accelerate innovation to connect and secure the world by providing electronic design and test solutions.","To accelerate innovation to connect and secure the world.","2014","Santa Rosa, USA (Global HQ)","https://www.keysight.com/","1001-5000 (Malaysia)","Health Insurance, Dental, Vision, Stock Purchase Plan, Flexible Work, EPF, SOCSO, Wellness Programs"
"KK Group Of Companies","The company provides many entry-level opportunities in the retail sector. However, the pay is often low and the working hours are long and demanding, with a very hands-on management style.","Retail","Large (500+)","Your Neighbourhood Convenience Store","A major Malaysian convenience store chain, also involved in other businesses like F&B, hospitality, and wellness.","To provide convenience and value to our customers through our wide network of stores and diverse product offerings.","2001","Kuala Lumpur, Malaysia","https://kkgroup.my/","5001-10000","EPF, SOCSO, Staff Discounts, Career Path in Retail"
"Lenovo","Working for a major global technology brand provides great exposure. However, the organization can be very matrixed and bureaucratic, making decision-making slow.","Computer Hardware","Large (500+)","Smarter Technology for All","A multinational technology company that designs, develops, manufactures, and sells personal computers, tablets, smartphones, workstations, servers, and smart IoT devices.","To provide smarter technology for all.","1984","Beijing, China (Global HQ)","https://www.lenovo.com/my/","1001-5000 (Malaysia)","Health Insurance, EPF, SOCSO, Staff Purchase Discounts, Global Exposure"
"MRANTI Corporation","The opportunity to be involved in the national technology and innovation ecosystem is highly motivating. However, as a government agency, processes can be bureaucratic and slow.","Government Agency & R&D","Mid-size (100-500)","From Idea to Impact","Malaysia's national research commercialisation agency that fast-tracks the development of technology innovations from the lab to the market.","To accelerate the creation of value from R&D and innovation, and to drive Malaysia's economic growth.","1996","Kuala Lumpur, Malaysia","https://mranti.my/","251-500","Health Insurance, EPF, SOCSO, Pension Scheme, Training, Networking Opportunities"
"Mattel (Malaysia) Sdn Bhd","Working for an iconic global toy brand is a key draw. The company has a positive culture and good benefits.","Toy Manufacturing","Large (500+)","Empowering the next generation to explore the wonder of childhood and reach their full potential.","The Malaysian manufacturing plant for the leading global toy company, home to iconic brands like Barbie, Hot Wheels, and Fisher-Price.","To empower the next generation to explore the wonder of childhood and reach their full potential.","1981","El Segundo, USA (Global HQ)","https://www.mattel.com/","1001-5000 (Malaysia)","Health Insurance, EPF, SOCSO, Toy Discounts, Family Day events"
"Mesiniaga Berhad","A long-standing Malaysian IT company that provides good training and development for its employees. However, the company can be slow to adopt the latest technologies compared to newer players.","Information Technology & Services","Mid-size (100-500)","Your Trusted IT Partner","A leading Malaysian IT solutions provider and systems integrator, listed on the KLSE, with a long history of serving corporate and government clients.","To be the leading IT solutions provider in Malaysia, delivering innovative and reliable solutions to our customers.","1981","Subang Jaya, Malaysia","https://www.mesiniaga.com.my/","251-500","Health Insurance, EPF, SOCSO, Training & Certifications, Stable Employment"
"NTT Data Corporation","A stable work environment with exposure to large-scale Japanese and global projects is a key benefit. However, the corporate culture is very hierarchical and decision-making is often slow.","Information Technology & Services","Large (500+)","Trusted Global Innovator","A Japanese multinational information technology service and consulting company, and a top 10 global IT services provider.","To create new paradigms and values that contribute to a more affluent and harmonious society.","1988","Tokyo, Japan (Global HQ)","https://www.nttdata.com/","1001-5000 (Malaysia)","Health Insurance, EPF, SOCSO, Global Projects, Language Allowances, Stable Employment"
"NI Malaysia Sdn Bhd","A very strong engineering culture with a focus on innovation and employee empowerment is highly praised. The company offers excellent benefits and a great work-life balance.","Electronics & Test Measurement","Large (500+)","Engineer Ambitiously","The Malaysian office of National Instruments, which develops automated test equipment and virtual instrumentation software for engineers and scientists.","We equip engineers and scientists with systems that accelerate productivity, innovation, and discovery.","1976","Austin, USA (Global HQ)","https://www.ni.com/","501-1000 (Malaysia)","Health Insurance, Dental, Vision, Stock Options, EPF, SOCSO, Wellness Programs, Flexible Work"
"Nestlé Malaysia","A strong global brand with excellent benefits and a focus on employee welfare is highly valued. However, the FMCG industry is very competitive and the work can be demanding.","Food & Beverage Manufacturing","Large (500+)","Good food, Good life","The Malaysian arm of the world's largest food and beverage company, producing a wide range of iconic brands for the local market.","To unlock the power of food to enhance quality of life for everyone, today and for generations to come.","1912","Vevey, Switzerland (Global HQ)","https://www.nestle.com.my/","5001-10000","Health Insurance, EPF, SOCSO, Car Benefits (for sales), Staff Discounts, Flexible Benefits"
"Press Metal Bintulu Sdn Bhd","High compensation for the manufacturing sector in its location is a major draw. However, the work is physically demanding and the environment can be very challenging.","Metals & Mining","Large (500+)","N/A","One of the largest aluminum smelting plants in Southeast Asia, a subsidiary of Press Metal Aluminium Holdings Berhad.","To be a globally integrated aluminum producer, creating value for our stakeholders.","2007","Bintulu, Sarawak, Malaysia","https://www.pressmetal.com/","1001-5000","High Compensation, Housing Allowance, Shift Allowances, EPF, SOCSO"
"Public Bank Berhad","The bank is known for its job stability and prudent management. However, the culture is very traditional, conservative, and hierarchical, which can stifle innovation and employee autonomy.","Banking & Finance","Large (500+)","A Bank for the People","One of Malaysia's largest and most consistently profitable banking groups, with a strong focus on the retail consumer and SME markets.","To be the premier financial services provider in the region, committed to excellence and customer satisfaction.","1966","Kuala Lumpur, Malaysia","https://www.pbebank.com/","10000+","Health Insurance, EPF, SOCSO, Staff Loans, Job Security, Annual Bonuses"
"QL Maxincome Sdn Bhd (FamilyMart)","Working for a popular and fast-growing convenience store brand is exciting. However, the retail operations roles are very demanding with long hours and high pressure to maintain standards.","Retail & F&B","Large (500+)","Your Neighbourhood FamilyMart","The master franchisee for the FamilyMart convenience store chain in Malaysia, known for its unique ready-to-eat food offerings.","To provide outstanding convenience and service to customers, becoming an indispensable part of their daily lives.","2016","Kuala Lumpur, Malaysia","https://www.familymart.com.my/","1001-5000","Health Insurance, EPF, SOCSO, Staff Discounts, Career Path in Retail"
"RHB Banking Group","The bank offers good work-life balance compared to other banks. However, the technology is often seen as outdated, and the corporate culture can be traditional and resistant to change.","Banking & Finance","Large (500+)","Together We Progress","The fourth largest fully integrated financial services group in Malaysia, with a core focus on retail banking, business banking, corporate and investment banking.","To be a leading multinational financial services group, delivering customer-centric solutions.","1997","Kuala Lumpur, Malaysia","https://www.rhbgroup.com/","10000+","Health Insurance, EPF, SOCSO, Staff Loans, Work-Life Balance"
"Robert Bosch (M) Sdn Bhd","Working for a reputable German engineering and technology MNC provides great stability and benefits. However, the organization is very large and can be bureaucratic, with a formal work culture.","Engineering & Technology","Large (500+)","Invented for life","The Malaysian subsidiary of the global technology and services supplier, with activities in mobility solutions, industrial technology, consumer goods, and energy and building technology.","We want to improve the quality of life and shape the future with our products and services that are 'Invented for life'.","1886","Gerlingen, Germany (Global HQ)","https://www.bosch.com.my/","1001-5000","Health Insurance, Dental, Optical, EPF, SOCSO, Flexible Work, Staff Discounts"
"SAP Malaysia Sdn Bhd","Working with a world-leading enterprise software gives excellent industry exposure. However, the organization is very large and matrixed, which can lead to bureaucracy and slow career progression.","Enterprise Software","Large (500+)","The Best Run SAP","The Malaysian subsidiary of the German multinational software corporation that develops enterprise software to manage business operations and customer relations.","To help the world run better and improve people's lives.","1972","Walldorf, Germany (Global HQ)","https://www.sap.com/malaysia/","501-1000","Health Insurance, Dental, Vision, Wellness Programs, EPF, SOCSO, Flexible Work"
"STMicroelectronics Sdn Bhd","The company offers a stable manufacturing environment with good benefits and opportunities to work on a wide range of semiconductor products. However, the work can be repetitive and demanding.","Semiconductors & Manufacturing","Large (500+)","life.augmented","A global semiconductor company that designs, develops, manufactures and markets a broad range of semiconductor products.","To provide the innovative semiconductor solutions that make a positive contribution to people’s lives, today and in the future.","1987","Geneva, Switzerland (Global HQ)","https://www.st.com/","5001-10000 (Malaysia)","Health Insurance, Shift Allowances, Transport Subsidies, Bonuses, EPF, SOCSO"
"Secret Recipe Cakes & Cafe Sdn Bhd","A strong and well-loved brand provides a good platform for a career in F&B. However, the operational side is fast-paced and can be stressful, with long retail hours.","Food & Beverage","Large (500+)","A taste of happiness","One of Malaysia's largest and most popular café chains, known for its extensive range of cakes, fusion food, and beverages.","To create a global brand and to share the joy of our food with people around the world.","1997","Petaling Jaya, Malaysia","https://www.secretrecipe.com.my/","1001-5000","EPF, SOCSO, Staff Meals, Staff Discounts, Career Progression in F&B"
"Star Media Group","The opportunity to work for one of Malaysia's leading media companies is a key positive. However, the traditional media industry is facing disruption, which creates uncertainty and pressure.","Media & Publishing","Large (500+)","The People's Paper","A multi-platform media group in Malaysia, with a major presence in print, digital, radio, and events. Best known for The Star newspaper.","To be a leading, integrated media group that informs, inspires and innovates.","1971","Petaling Jaya, Malaysia","https://www.starmediagroup.my/","1001-5000","Health Insurance, EPF, SOCSO, Media Perks, Networking"
"Sunway Education Group","Working within a leading education group is rewarding and provides a stable environment. However, the academic world can be bureaucratic with slower decision-making processes.","Education","Large (500+)","Nurturing the Seeds of Success","A leading private higher education provider in Malaysia, comprising universities, colleges, and international schools, part of the Sunway Group.","To be the international education hub in Malaysia.","1987","Subang Jaya, Malaysia","https://sunwayeducation.com/","1001-5000","Health Insurance, EPF, SOCSO, School Fee Discounts for children, Professional Development"
"TAN CHONG GROUP","A long-standing and stable company in the automotive industry is a key advantage. However, the culture is very traditional and hierarchical, which can limit innovation and dynamic career growth.","Automotive","Large (500+)","N/A","A large Malaysian conglomerate with core businesses in the assembly and distribution of motor vehicles, as well as property and financial services.","To be a leading automotive company in the region, delivering quality products and services.","1957","Kuala Lumpur, Malaysia","https://www.tanchonggroup.com/","10000+","Health Insurance, EPF, SOCSO, Car Purchase Schemes, Stable Employment"
"Tech Mahindra Ltd","Exposure to a wide range of global IT projects is a key positive. However, the company is often criticized for its below-market salary packages and bureaucratic processes.","Information Technology & Services","Large (500+)","Connected World. Connected Experiences.","An Indian multinational company that provides information technology and business process outsourcing services.","To be the most respected global company in our industry, creating value for all our stakeholders.","1986","Pune, India (Global HQ)","https://www.techmahindra.com/","1001-5000 (Malaysia)","Health Insurance, EPF, SOCSO, Global Client Projects, Training"
"The Italian Baker Sdn Bhd","Working for the company behind the popular Massimo brand is a key draw. However, the FMCG manufacturing and distribution environment is very demanding with long hours.","Food & Beverage Manufacturing","Large (500+)","The goodness of wheat, the taste of Italy","The manufacturer of the Massimo brand of bread and other baked goods in Malaysia.","To provide Malaysians with high-quality, delicious, and wholesome baked goods.","2011","Pulau Indah, Selangor, Malaysia","https://www.massimo.com.my/","501-1000","Health Insurance, EPF, SOCSO, Product Allowances, Shift Allowances"
"U Mobile Sdn Bhd","A dynamic and fast-paced work environment in the competitive telco industry is valued. However, this often leads to a poor work-life balance and a high-pressure culture.","Telecommunications","Large (500+)","Live Connected","A data-centric and multiple award-winning mobile data service company in Malaysia, known for its competitive mobile plans.","To challenge the status quo and give Malaysians the mobile experience they deserve.","1998","Kuala Lumpur, Malaysia","https://www.u.com.my/","1001-5000","Health Insurance, EPF, SOCSO, Phone Plan Benefits, Flexible Work, Young Culture"
"Wipro Unza (Malaysia) Sdn Bhd","A strong portfolio of well-known personal care brands provides good experience in the FMCG sector. However, the work culture can be traditional and slow-moving.","FMCG & Personal Care","Large (500+)","N/A","A leading manufacturer and marketer of personal care products in Southeast Asia, with iconic brands like Safi, Enchanteur, and Dashing.","To be the leading personal care company in our markets, creating value for our consumers and stakeholders.","1980","Subang Jaya, Malaysia","https://wipro-unza.com/","1001-5000","Health Insurance, EPF, SOCSO, Car Allowance (sales), Staff Discounts"
"X-FAB Sarawak Sdn Bhd","The opportunity to work in a specialized semiconductor foundry with a focus on analog/mixed-signal technologies is a key positive. However, the work is highly specialized and the location may not be for everyone.","Semiconductors & Manufacturing","Large (500+)","Smart, analog and mixed-signal solutions","The Sarawak-based foundry of X-FAB, a leading analog/mixed-signal and MEMS foundry group manufacturing silicon wafers for mixed-signal integrated circuits.","To be the foundry of choice for the analog world.","1992","Erfurt, Germany (Global HQ)","https://www.xfab.com/","501-1000","Health Insurance, Shift Allowances, EPF, SOCSO, Technical Training, Relocation assistance"
"myNEWS HOLDINGS BERHAD","The company offers many opportunities for a career in the fast-growing convenience retail sector. However, the operational roles are demanding with long hours and a strong focus on sales metrics.","Retail","Large (500+)","Always Welcoming, Always Convenient","A leading homegrown convenience retail chain in Malaysia, operating myNEWS, myNEWS SUPERVALUE, and WHSmith outlets.","To be the most preferred convenience store brand in Malaysia.","1996","Kota Damansara, Malaysia","https://www.mynews.com.my/","1001-5000","EPF, SOCSO, Staff Discounts, Career Progression in Retail, Sales Incentives"
"1 DOC RESOURCES SDN. BHD.","A good place for entry-level candidates to gain experience in document management. However, the work is very process-driven and can be monotonous, with limited career growth.","Business Process Outsourcing (BPO)","Startup (<100)","Your Document Solution Partner","A company specializing in document management solutions, including digitization, data entry, and archiving services for corporate clients.","To provide reliable, secure, and efficient document management services that help our clients go paperless.","N/A","Kuala Lumpur, Malaysia","N/A","51-100","EPF, SOCSO, Medical Claims, Annual Leave"
"3F Resources Sdn Bhd","The company provides exposure to the palm oil and agriculture industry. However, the work environment is often described as traditional with a very hierarchical management structure.","Agriculture & Plantations","Mid-size (100-500)","N/A","A company involved in the plantation sector, focusing on the cultivation and management of oil palm estates.","N/A","N/A","N/A","N/A","101-250","EPF, SOCSO, Housing (for estate staff), Medical"
"9 Dots Consulting Group","The opportunity to learn about various business and IT consulting projects is a key positive. However, as a small consultancy, the projects and resources may be limited.","IT & Business Consulting","Startup (<100)","Connecting the Dots for Your Business","A boutique consulting firm that provides business advisory and IT solutions to small and medium-sized enterprises.","To help businesses grow by connecting strategy, technology, and execution.","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Project-based incentives, Flexible Work"
"ABS Innovations","The opportunity to work on diverse IT projects provides good learning experience for new developers. However, as a small company, career progression is limited and the benefits package is basic.","Information Technology & Services","Startup (<100)","Innovating Your Business Solutions","A Malaysian IT solutions company that provides custom software development, web development, and IT consultancy services for small to medium-sized businesses.","To deliver innovative and practical technology solutions that help our clients achieve their business goals.","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Annual Leave, Medical Claims"
"CITY FACILITIES MANAGEMENT SDN. BHD","The opportunity to work on diverse IT projects provides good learning experience for new developers. However, as a small company, career progression is limited and the benefits package is basic.","Information Technology & Services","Startup (<100)","Innovating Your Business Solutions","A Malaysian IT solutions company that provides custom software development, web development, and IT consultancy services for small to medium-sized businesses.","To deliver innovative and practical technology solutions that help our clients achieve their business goals.","N/A","Kuala Lumpur, Malaysia","N/A","1-10","EPF, SOCSO, Annual Leave, Medical Claims"
